,Title,Published_date,Views,Likes,Comments,Month
164,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6165,231,82,Jul
165,Critiquing MY OWN Data Science Resume,2020-07-06,12607,396,88,Jul
166,Where to Start Learning Data Science,2020-07-03,18699,782,126,Jul
167,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4114,196,37,Jul
168,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4571,176,52,Jun
169,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16200,546,79,Jun
170,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2407,82,40,Jun
171,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2385,139,49,Jun
172,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4345,169,46,Jun
173,Why You're Struggling to Learn Data Science,2020-06-12,15236,1011,159,Jun
174,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11578,356,70,Jun
175,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23733,684,146,Jun
176,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5699,155,53,Jun
177,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,70918,2168,268,May
178,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20962,489,81,May
179,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,54591,1950,178,May
180,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11237,178,55,May
181,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,126723,4332,193,May
182,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3099,147,115,May
183,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4503,153,74,May
184,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1392831,49022,1998,May
185,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5519,196,42,May
186,What You Need to Know for a Data Science Internship,2020-05-01,21639,1188,59,May
187,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8335,350,54,Apr
188,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14977,459,103,Apr
